year,day,month,Q
1951,17,Apr,19
1951,18,Apr,17
1951,19,Apr,17
1951,20,Apr,23
1951,21,Apr,22
1951,22,Apr,21
1951,23,Apr,30
1951,24,Apr,20
1951,25,Apr,19
1951,26,Apr,19
1951,27,Apr,17
1951,28,Apr,17
1951,29,Apr,16
1951,30,Apr,16
1952,1,Apr,24
1952,2,Apr,23
1952,3,Apr,23
1952,4,Apr,22
1952,5,Apr,22
1952,6,Apr,21
1952,7,Apr,20
1952,8,Apr,18
1952,9,Apr,18
1952,10,Apr,18
1952,11,Apr,18
1952,12,Apr,18
1952,13,Apr,18
1952,14,Apr,17
1952,15,Apr,17
1952,16,Apr,17
1952,17,Apr,16
1952,18,Apr,17
1952,19,Apr,17
1952,20,Apr,17
1952,21,Apr,18
1952,22,Apr,21
1952,23,Apr,21
1952,24,Apr,21
1952,25,Apr,17
1952,26,Apr,17
1952,27,Apr,16
1952,28,Apr,16
1952,29,Apr,16
1952,30,Apr,16
1953,1,Apr,19
1953,2,Apr,18
1953,3,Apr,18
1953,4,Apr,18
1953,5,Apr,18
1953,6,Apr,19
1953,7,Apr,18
1953,8,Apr,18
1953,9,Apr,18
1953,10,Apr,18
1953,11,Apr,18
1953,12,Apr,18
1953,13,Apr,19
1953,14,Apr,19
1953,15,Apr,18
1953,16,Apr,18
1953,17,Apr,18
1953,18,Apr,18
1953,19,Apr,18
1953,20,Apr,17
1953,21,Apr,17
1953,22,Apr,17
1953,23,Apr,17
1953,24,Apr,21
1953,25,Apr,24
1953,26,Apr,25
1953,27,Apr,26
1953,28,Apr,28
1953,29,Apr,29
1953,30,Apr,29
1954,1,Apr,19
1954,2,Apr,19
1954,3,Apr,17
1954,4,Apr,16
1954,5,Apr,15
1954,6,Apr,15
1954,7,Apr,14
1954,8,Apr,14
1954,9,Apr,13
1954,10,Apr,12
1954,11,Apr,11
1954,12,Apr,10
1954,13,Apr,9.8
1954,14,Apr,9.15
1954,15,Apr,9.15
1954,16,Apr,8.5
1954,17,Apr,8.5
1954,18,Apr,8
1954,19,Apr,7.5
1954,20,Apr,7
1954,21,Apr,7.5
1954,22,Apr,7.5
1954,23,Apr,7.5
1954,24,Apr,7.5
1954,25,Apr,7
1954,26,Apr,7.5
1954,27,Apr,8
1954,28,Apr,8.5
1954,29,Apr,9.8
1954,30,Apr,14
1955,1,Apr,11
1955,2,Apr,10
1955,3,Apr,9.85
1955,4,Apr,9.4
1955,5,Apr,8.5
1955,6,Apr,8.5
1955,7,Apr,9.4
1955,8,Apr,9.85
1955,9,Apr,10
1955,10,Apr,9.85
1955,11,Apr,8.5
1955,12,Apr,7.74
1955,13,Apr,7.36
1955,14,Apr,6.98
1955,15,Apr,6.98
1955,16,Apr,6.98
1955,17,Apr,6.98
1955,18,Apr,6.98
1955,19,Apr,6.6
1955,20,Apr,6.22
1955,21,Apr,7.36
1955,22,Apr,8.12
1955,23,Apr,8.95
1955,24,Apr,10
1955,25,Apr,13
1955,26,Apr,32
1955,27,Apr,35
1955,28,Apr,30
1955,29,Apr,26
1955,30,Apr,24
1956,1,Apr,7.65
1956,2,Apr,8
1956,3,Apr,8.9
1956,4,Apr,9.8
1956,5,Apr,10
1956,6,Apr,11
1956,7,Apr,11
1956,8,Apr,11
1956,9,Apr,11
1956,10,Apr,11
1956,11,Apr,11
1956,12,Apr,11
1956,13,Apr,11
1956,14,Apr,11
1956,15,Apr,11
1956,16,Apr,11
1956,17,Apr,11
1956,18,Apr,12
1956,19,Apr,12
1956,20,Apr,12
1956,21,Apr,13
1956,22,Apr,14
1956,23,Apr,14
1956,24,Apr,13
1956,25,Apr,12
1956,26,Apr,11
1956,27,Apr,9.8
1956,28,Apr,8.9
1956,29,Apr,8.45
1956,30,Apr,8.9
1957,1,Apr,9.2
1957,2,Apr,9.2
1957,3,Apr,8.8
1957,4,Apr,8.8
1957,5,Apr,11
1957,6,Apr,12
1957,7,Apr,13
1957,8,Apr,12
1957,9,Apr,12
1957,10,Apr,11
1957,11,Apr,10
1957,12,Apr,8.8
1957,13,Apr,8.8
1957,14,Apr,8.4
1957,15,Apr,8.4
1957,16,Apr,8.8
1957,17,Apr,10
1957,18,Apr,8.4
1957,19,Apr,7.4
1957,20,Apr,6.8
1957,21,Apr,6.8
1957,22,Apr,6.5
1957,23,Apr,6.5
1957,24,Apr,6.5
1957,25,Apr,6.5
1957,26,Apr,6.2
1957,27,Apr,5.9
1957,28,Apr,5.6
1957,29,Apr,5.6
1957,30,Apr,5.3
1958,1,Apr,8
1958,2,Apr,9
1958,3,Apr,8
1958,4,Apr,7.1
1958,5,Apr,5.9
1958,6,Apr,5.5
1958,7,Apr,4.7
1958,8,Apr,4.3
1958,9,Apr,4.3
1958,10,Apr,4.3
1958,11,Apr,4.7
1958,12,Apr,4.7
1958,13,Apr,4.7
1958,14,Apr,5.9
1958,15,Apr,5.9
1958,16,Apr,6.7
1958,17,Apr,9
1958,18,Apr,13
1958,19,Apr,12
1958,20,Apr,9.5
1958,21,Apr,8
1958,22,Apr,6.7
1958,23,Apr,5.1
1958,24,Apr,5.1
1958,25,Apr,6.3
1958,26,Apr,5.9
1958,27,Apr,5.5
1958,28,Apr,5.9
1958,29,Apr,6.3
1958,30,Apr,7.1
1959,1,Apr,3.6
1959,2,Apr,3.6
1959,3,Apr,3.6
1959,4,Apr,3.9
1959,5,Apr,4.2
1959,6,Apr,3.9
1959,7,Apr,3.9
1959,8,Apr,3.9
1959,9,Apr,3.9
1959,10,Apr,3.9
1959,11,Apr,3.3
1959,12,Apr,3.6
1959,13,Apr,3.6
1959,14,Apr,3.6
1959,15,Apr,3.3
1959,16,Apr,3.9
1959,17,Apr,3.9
1959,18,Apr,4.5
1959,19,Apr,4.5
1959,20,Apr,4.2
1959,21,Apr,5.1
1959,22,Apr,5.7
1959,23,Apr,6
1959,24,Apr,7.85
1959,25,Apr,8.22
1959,26,Apr,6.44
1959,27,Apr,6.37
1959,28,Apr,5.1
1959,29,Apr,4.8
1959,30,Apr,4.5
1960,1,Apr,6.83
1960,2,Apr,6.83
1960,3,Apr,6.83
1960,4,Apr,6.09
1960,5,Apr,6.09
1960,6,Apr,6.83
1960,7,Apr,6.83
1960,8,Apr,5.72
1960,9,Apr,5.72
1960,10,Apr,5.72
1960,11,Apr,5.72
1960,12,Apr,6.09
1960,13,Apr,6.46
1960,14,Apr,6.09
1960,15,Apr,6.09
1960,16,Apr,5.72
1960,17,Apr,5.72
1960,18,Apr,5.72
1960,19,Apr,6.09
1960,20,Apr,5.35
1960,21,Apr,5.35
1960,22,Apr,5.35
1960,23,Apr,5.35
1960,24,Apr,5.35
1960,25,Apr,4.98
1960,26,Apr,4.98
1960,27,Apr,4.98
1960,28,Apr,4.98
1960,29,Apr,5.72
1960,30,Apr,5.72
1961,1,Apr,10
1961,2,Apr,10
1961,3,Apr,9.12
1961,4,Apr,9.12
1961,5,Apr,7.68
1961,6,Apr,6.09
1961,7,Apr,6.09
1961,8,Apr,6.09
1961,9,Apr,6.09
1961,10,Apr,6.46
1961,11,Apr,6.46
1961,12,Apr,6.09
1961,13,Apr,6.46
1961,14,Apr,6.46
1961,15,Apr,6.09
1961,16,Apr,6.09
1961,17,Apr,16
1961,18,Apr,16
1961,19,Apr,15
1961,20,Apr,11
1961,21,Apr,9.12
1961,22,Apr,7.68
1961,23,Apr,7.2
1961,24,Apr,6.46
1961,25,Apr,6.46
1961,26,Apr,6.09
1961,27,Apr,8.64
1961,28,Apr,20
1961,29,Apr,17
1961,30,Apr,14
1962,1,Apr,10
1962,2,Apr,10
1962,3,Apr,9.6
1962,4,Apr,9.6
1962,5,Apr,9.6
1962,6,Apr,9.6
