year,month,day,Qvic
1980,6,13,137.0517
1980,6,14,131.3884
1980,6,15,118.5443
1980,6,16,93.9681
1980,6,17,71.5058
1980,6,18,66.2051
1980,6,19,82.5433
1980,6,20,94.2832
1980,6,21,89.8337
1980,6,22,84.8827
1980,6,23,72.5891
1980,6,24,56.7928
1980,6,25,50.0977
1980,6,26,48.3866
1980,6,27,47.8433
1980,6,28,47.7517
1980,6,29,46.6791
1980,6,30,44.9417
1980,7,1,44.4807
1980,7,2,50.5053
1980,7,3,58.9295
1980,7,4,55.6137
1980,7,5,38.7724
1980,7,6,31.7844
1980,7,7,33.2263
1980,7,8,35.3407
1980,7,9,34.8822
1980,7,10,52.0249
1980,7,11,105.2291
1980,7,12,134.7188
1980,7,13,100.4636
1980,7,14,58.6285
1980,7,15,42.5423
1980,7,16,56.1421
1980,7,17,74.5959
1980,7,18,64.3917
1980,7,19,47.5762
1980,7,20,43.6213
1980,7,21,59.9562
1980,7,22,78.6919
1980,7,23,70.199
1980,7,24,49.6307
1980,7,25,38.4823
1980,7,26,42.4875
1980,7,27,61.2171
1980,7,28,76.5977
1980,7,29,66.4385
1980,7,30,46.6348
1980,7,31,47.2043
1980,8,1,67.5781
1980,8,2,91.0741
1980,8,3,130.2199
1980,8,4,159.3963
1980,8,5,148.1348
1980,8,6,136.1587
1980,8,7,136.0412
1980,8,8,129.3566
1980,8,9,115.5729
1980,8,10,96.335
1980,8,11,82.3631
1980,8,12,79.7892
1980,8,13,79.8397
1980,8,14,79.0925
1980,8,15,81.926
1980,8,16,82.3172
1980,8,17,84.0865
1980,8,18,106.4607
1980,8,19,147.0623
1980,8,20,174.6457
1980,8,21,158.4142
1980,8,22,125.4178
1980,8,23,120.4449
1980,8,24,126.9744
1980,8,25,122.3379
1980,8,26,113.6863
1980,8,27,106.4959
1980,8,28,100.0781
1980,8,29,99.1079
1980,8,30,101.3731
1980,8,31,99.3241
1980,9,1,100.8589
1980,9,2,108.8531
1980,9,3,110.9218
1980,9,4,111.3675
1980,9,5,130.3225
1980,9,6,171.181
1980,9,7,184.6747
1980,9,8,151.6831
1980,9,9,114.6491
1980,9,10,101.9893
1980,9,11,103.1677
1980,9,12,97.8524
1980,9,13,89.1805
1980,9,14,88.1356
1980,9,15,100.0347
1980,9,16,125.6852
1980,9,17,133.7586
1980,9,18,104.1419
1980,9,19,83.5618
1980,9,20,91.1489
1980,9,21,107.3355
1980,9,22,107.4839
1980,9,23,88.7705
1980,9,24,76.3833
1980,9,25,78.3003
1980,9,26,96.0029
1980,9,27,133.8381
1980,9,28,158.2187
1980,9,29,139.1951
1980,9,30,103.9946
1980,10,1,83.3474
1980,10,2,89.5515
1980,10,3,116.2711
1980,10,4,142.4557
1980,10,5,129.6527
1980,10,6,104.3475
1980,10,7,107.9039
1980,10,8,147.5528
1980,10,9,180.0287
1980,10,10,143.529
1980,10,11,96.5545
1980,10,12,85.8107
1980,10,13,84.6513
1980,10,14,82.9689
1980,10,15,80.4142
1980,10,16,77.4177
1980,10,17,74.1521
1980,10,18,70.7549
1980,10,19,67.3285
1980,10,20,63.9411
1980,10,21,60.6356
1980,10,22,57.4413
1980,10,23,54.3803
1980,10,24,51.4673
1980,10,25,48.7079
1980,10,26,46.1012
1980,10,27,43.6407
1980,10,28,41.341
1980,10,29,39.2476
1980,10,30,37.2365
1980,10,31,35.2036
1980,11,1,33.3905
1980,11,2,31.7357
1980,11,3,30.1947
1980,11,4,28.7555
1980,11,5,27.4119
1980,11,6,26.1599
1980,11,7,24.9947
1980,11,8,23.91
1980,11,9,22.8979
1980,11,10,21.9494
1980,11,11,21.0579
1980,11,12,20.2215
1980,11,13,19.4377
1980,11,14,18.7021
1980,11,15,18.0105
1980,11,16,17.3595
