year,site,do18
1830,PMTK,-0.359899189
1831,PMTK,-0.431970304
1832,PMTK,1.579416901
1833,PMTK,1.38559457
1834,PMTK,-0.121040684
1835,PMTK,-0.311966287
1836,PMTK,-0.311467796
1837,PMTK,0.890639593
1838,PMTK,0.854988169
1839,PMTK,-1.418806298
1840,PMTK,-0.27080223
1841,PMTK,-0.288724455
1842,PMTK,1.319756342
1843,PMTK,0.982542589
1844,PMTK,0.476271511
1845,PMTK,0.956353708
1846,PMTK,0.169812938
1847,PMTK,-0.092827086
1848,PMTK,0.552870293
1849,PMTK,0.925196587
1850,PMTK,0.233826417
1851,PMTK,-0.168232649
1852,PMTK,0.578868359
1853,PMTK,0.105180182
1854,PMTK,-0.728655298
1855,PMTK,0.718622465
1856,PMTK,-0.66053806
1857,PMTK,-0.701164702
1858,PMTK,0.677030444
1859,PMTK,0.597857324
1860,PMTK,-0.619878071
1861,PMTK,-0.509782224
1862,PMTK,-0.763821508
1863,PMTK,-0.409307747
1864,PMTK,1.043829262
1865,PMTK,-1.212166557
1866,PMTK,-0.766028456
1867,PMTK,-0.832208603
1868,PMTK,-0.359889663
1869,PMTK,-0.153398676
1870,PMTK,-0.5120784
1871,PMTK,-0.711479315
1872,PMTK,-0.60814643
1873,PMTK,0.719254794
1874,PMTK,-0.801547827
1875,PMTK,0.442748793
1876,PMTK,0.254462502
1877,PMTK,0.530216568
1878,PMTK,-1.314181634
1879,PMTK,-2.004067668
1880,PMTK,0.313004974
1881,PMTK,-0.261805987
1882,PMTK,-1.439822462
1883,PMTK,0.2272967
1884,PMTK,-0.427786125
1885,PMTK,0.865002835
1886,PMTK,-0.675587666
1887,PMTK,0.033115952
1888,PMTK,0.864764194
1889,PMTK,0.226359915
1890,PMTK,0.112110293
1891,PMTK,1.760471118
1892,PMTK,-0.615223658
1893,PMTK,-0.902928637
1894,PMTK,-0.946598955
1895,PMTK,0.498323849
1896,PMTK,1.099174547
1897,PMTK,-0.458155612
1898,PMTK,0.852008219
1899,PMTK,0.883371261
1900,PMTK,-0.946491323
1901,PMTK,-0.098132064
1902,PMTK,0.993685855
1903,PMTK,-1.923628181
1904,PMTK,-0.129938864
1905,PMTK,0.179664197
1906,PMTK,0.110611035
1907,PMTK,0.266500508
1908,PMTK,-1.09370834
1909,PMTK,-2.026490938
1910,PMTK,-1.124243456
1911,PMTK,0.410668848
1912,PMTK,0.742065329
1913,PMTK,0.866834285
1914,PMTK,1.243370335
1915,PMTK,0.782428835
1916,PMTK,-1.298619659
1917,PMTK,-1.683901982
1918,PMTK,0.600892945
1919,PMTK,1.000223923
1920,PMTK,0.984747628
1921,PMTK,-0.057313001
1922,PMTK,-0.111781508
1923,PMTK,0.613917539
1924,PMTK,0.565070235
1925,PMTK,0.45588547
1926,PMTK,-0.178135081
1927,PMTK,-0.169108472
1928,PMTK,0.087259351
1929,PMTK,-0.173166512
1930,PMTK,0.497471376
1931,PMTK,0.766366599
1932,PMTK,-0.415693808
1933,PMTK,-1.021521054
1934,PMTK,-1.224430391
1935,PMTK,-0.910768462
1936,PMTK,1.403263247
1937,PMTK,0.110760734
1938,PMTK,-1.051249741
1939,PMTK,-0.313165347
1940,PMTK,-0.020041746
1941,PMTK,0.167213649
1942,PMTK,-0.669034189
1943,PMTK,0.042096441
1944,PMTK,-0.452713594
1945,PMTK,0.221035671
1946,PMTK,0.217510938
1947,PMTK,-0.707450123
1948,PMTK,-0.138382392
1949,PMTK,-0.349449248
1950,PMTK,-1.086660783
1951,PMTK,-0.577387506
1952,PMTK,-0.145001026
1953,PMTK,0.12184224
1954,PMTK,-0.235578367
1955,PMTK,-0.473596164
1956,PMTK,-0.477479185
1957,PMTK,0.378544582
1958,PMTK,0.430423269
1959,PMTK,-0.342012035
1960,PMTK,0.165689743
1961,PMTK,-0.604507524
1962,PMTK,-0.354438196
1963,PMTK,0.092777327
1964,PMTK,-0.658527336
1965,PMTK,0.237584576
1966,PMTK,0.330391226
1967,PMTK,-0.65535043
1968,PMTK,0.629314657
1969,PMTK,0.729734885
1970,PMTK,-0.961940243
1971,PMTK,-0.730844314
1972,PMTK,0.491440082
1973,PMTK,-2.057710991
1974,PMTK,-0.208010409
1975,PMTK,-1.519037479
1976,PMTK,-0.057847902
1977,PMTK,-0.005553913
1978,PMTK,-0.482983762
1979,PMTK,2.963905237
1980,PMTK,1.37918678
1981,PMTK,0.147925784
1982,PMTK,0.125409256
1983,PMTK,0.213049503
1984,PMTK,0.90720186
1985,PMTK,0.340418333
1986,PMTK,1.508736821
1987,PMTK,-0.506520225
1988,PMTK,0.489298678
1989,PMTK,-0.656749127
1990,PMTK,0.995273082
1991,PMTK,0.99764131
1992,PMTK,0.394552484
1993,PMTK,0.001204975
1994,PMTK,0.901456265
1995,PMTK,-0.851155482
1996,PMTK,-0.787026814
1997,PMTK,2.250527623
1998,PMTK,2.829475788
1999,PMTK,-0.130438792
2000,PMTK,0.268182395
1803,UPML,2.283602833
1804,UPML,1.260623979
1805,UPML,0.35968263
1806,UPML,-0.413311156
1807,UPML,-0.009964705
1808,UPML,-0.059476808
1809,UPML,-1.191333752
1810,UPML,-0.32489541
1811,UPML,-1.092168019
1812,UPML,-0.608015967
1813,UPML,-1.272221728
1814,UPML,-0.890290856
1815,UPML,-0.870277151
1816,UPML,0.537282715
1817,UPML,1.810459806
1818,UPML,-2.465495314
1819,UPML,-2.847652416
1820,UPML,0.248895341
1821,UPML,-1.184925628
1822,UPML,-0.847549324
1823,UPML,-0.291536775
1824,UPML,0.811095892
1825,UPML,1.304254268
1826,UPML,0.269694237
1827,UPML,0.943477615
1828,UPML,0.597392718
1829,UPML,0.271620785
1830,UPML,-0.615478413
1831,UPML,-1.12622965
1832,UPML,1.883715546
1833,UPML,-0.159344307
1834,UPML,-0.94124301
1835,UPML,-0.576493734
1836,UPML,0.233623796
1837,UPML,0.939291555
1838,UPML,0.965472417
1839,UPML,-0.71282253
1840,UPML,-0.148035137
1841,UPML,-0.155469542
1842,UPML,0.552020188
1843,UPML,1.379292034
1844,UPML,0.167101307
1845,UPML,0.74123212
1846,UPML,0.542157373
1847,UPML,0.00538041
1848,UPML,1.593996995
1849,UPML,0.084556744
1850,UPML,0.975480519
1851,UPML,-0.208970951
1852,UPML,0.521141908
1853,UPML,-0.329028278
1854,UPML,-1.093210158
1855,UPML,0.784221687
1856,UPML,-1.206946738
1857,UPML,0.117420973
1858,UPML,0.866495026
1859,UPML,-0.147447395
1860,UPML,-0.511320092
1861,UPML,-0.988169601
1862,UPML,-0.616108433
1863,UPML,-0.371839328
1864,UPML,0.950074325
1865,UPML,-0.502375097
1866,UPML,0.311063885
1867,UPML,0.890258286
1868,UPML,-0.234414362
1869,UPML,-0.596105332
1870,UPML,-0.315962175
1871,UPML,-0.614046064
1872,UPML,-0.486205611
1873,UPML,0.627326926
1874,UPML,-0.829036301
1875,UPML,-0.810168587
1876,UPML,-0.915084324
1877,UPML,1.351744911
1878,UPML,-2.268861852
1879,UPML,-1.938325143
1880,UPML,0.028696975
1881,UPML,-0.584183568
1882,UPML,-1.200183127
1883,UPML,0.221981983
1884,UPML,0.604479743
1885,UPML,0.974581804
1886,UPML,0.289847682
1887,UPML,-0.460743329
1888,UPML,0.774614812
1889,UPML,-0.634094771
1890,UPML,0.374697564
1891,UPML,0.364156421
1892,UPML,-0.050996305
1893,UPML,-0.300148844
1894,UPML,-0.084190575
1895,UPML,1.215434471
1896,UPML,0.533079489
1897,UPML,-1.107987867
1898,UPML,-0.8850333
1899,UPML,1.060327545
1900,UPML,-0.33418712
1901,UPML,-1.05413897
1902,UPML,0.579755009
1903,UPML,-1.527168798
1904,UPML,-0.030631994
1905,UPML,0.251206989
1906,UPML,1.058986255
1907,UPML,0.143030152
1908,UPML,-1.13346381
1909,UPML,0.239679495
1910,UPML,-0.737832003
1911,UPML,0.422539682
1912,UPML,0.833881377
1913,UPML,0.923557907
1914,UPML,1.681398148
1915,UPML,-0.554013737
1916,UPML,-0.386279038
1917,UPML,-1.258267012
1918,UPML,1.854821294
1919,UPML,0.960215696
