year,month,Qm
1963,9,266.37
1963,10,381.11
1963,11,401.52
1963,12,170.38
1964,1,96.25
1964,2,47.95
1964,3,26.31
1964,4,21.56
1964,5,134.53
1964,6,99.71
1964,7,210.21
1964,8,198.81
1964,9,472.69
1964,10,387.85
1964,11,201.74
1964,12,141.18
1965,1,74.65
1965,2,45.19
1965,3,26.58
1965,4,22.93
1965,5,37.53
1965,6,99.79
1965,7,48.5
1965,8,206.49
1965,9,348.79
1965,10,319.68
1965,11,332.29
1965,12,191.03
1966,1,90.97
1966,2,39.39
1966,3,23.04
1966,4,16.94
1966,5,50.35
1966,6,61.48
1966,7,51.99
1966,8,322.62
1966,9,433.3
1966,10,195.09
1966,11,153.1
1966,12,102.38
1967,1,59.53
1967,2,26.91
1967,3,26.66
1967,4,33.18
1967,5,68.14
1967,6,96.25
1967,7,69.09
1967,8,253.33
1967,9,646.4
1967,10,298.34
1967,11,144.03
1967,12,97.29
1968,1,43.03
1968,2,24.14
1968,3,16.26
1968,4,47.17
1968,5,76.46
1968,6,99.88
1968,7,132.71
1968,8,364.44
1968,9,243.13
1968,10,221.36
1968,11,112.06
1968,12,67.91
1969,1,38.71
1969,2,27.37
1969,3,17.78
1969,4,8.13
1969,5,72.78
1969,6,143.25
1969,7,148.26
1969,8,579.4
1969,9,273.11
1969,10,211.85
1969,11,155
1969,12,86.23
1970,1,41.3
1970,2,23.59
1970,3,19.57
1970,4,23.93
1970,5,208.2
1970,6,275.96
1970,7,357.01
1970,8,782.27
1970,9,757.38
1970,10,376.19
1970,11,216.26
1970,12,270.52
1971,1,109.56
1971,2,46.83
1971,3,32.24
1971,4,18.3
1971,5,142
1971,6,154
1971,7,642
1971,8,877
1971,9,737
1971,10,586
1971,11,296
1971,12,199
1972,1,109
1972,2,46.9
1972,3,25.4
1972,4,49.1
1972,5,27.56
1972,6,65.79
1972,7,32.64
1972,8,381.97
1972,9,341.19
1972,10,361.84
1972,11,325.47
1972,12,230.52
1973,1,83.2
1973,2,34.39
1973,3,42.97
1973,4,7.28
1973,5,96.74
1973,6,217.64
1973,7,377.48
1973,8,1158.28
1973,9,1173.31
1973,10,571.1
1973,11,282.1
1973,12,209.52
1974,1,99.36
1974,2,36.29
1974,3,25.21
1974,4,23.4
1974,5,115.43
1974,6,131.59
1974,7,61.86
1974,8,440.21
1974,9,555.9
1974,10,294.54
1974,11,393.9
1974,12,143.68
1975,1,142.99
1975,2,31.66
1975,3,14.81
1975,4,7.75
1975,5,50.6
1975,6,331.35
